lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma_sample,sigma_exp[1],sigma_exp[2],phase_mu[1],phase_mu[2],group_effect[1],group_effect[2],group_effect[3],group_effect[4],group_effect[5],group_effect[6],group_effect[7]
440.55,0.969422,0.0761695,5.0,31.0,0.0,-431.764,0.00851664,0.00256232,0.0215122,0.11258,0.342942,-0.00976294,-0.0054112,-0.000608705,0.00351758,0.0132672,0.0175553,0.00924187
444.785,0.897151,0.0761695,4.0,15.0,0.0,-434.781,0.00893038,0.00272946,0.0212308,0.112982,0.349521,-0.0105729,-0.00354899,0.000271105,0.00193046,0.0130671,0.0187988,0.00784933
445.714,0.95894,0.0761695,5.0,31.0,0.0,-438.737,0.0103439,0.0031145,0.0222299,0.115118,0.348684,-0.0116686,-0.00683035,-0.00264298,0.00181427,0.0107133,0.0154719,0.00759765
444.048,0.983943,0.0761695,5.0,63.0,0.0,-441.182,0.00641983,0.00336563,0.0216007,0.116887,0.355094,-0.0132145,-0.00791565,-0.00440624,-0.00132402,0.00917948,0.0129449,0.00692138
444.181,0.922385,0.0761695,4.0,15.0,0.0,-436.396,0.00742664,0.00328927,0.0222311,0.115932,0.357095,-0.0132686,-0.0072135,-0.00280155,8.18941e-05,0.00957186,0.0162406,0.00429389
444.693,0.947722,0.0761695,4.0,31.0,0.0,-439.793,0.0104539,0.00295533,0.0200111,0.116025,0.35153,-0.0137992,-0.00635604,-0.00430569,0.00183043,0.00915831,0.0148733,0.00557972
445.998,0.999903,0.0761695,4.0,31.0,0.0,-440.127,0.0120757,0.00323229,0.0187293,0.116038,0.35175,-0.013022,-0.00883228,-0.00282895,-0.000633058,0.0107948,0.0154333,0.00584795
446.576,0.987961,0.0761695,4.0,31.0,0.0,-442.664,0.00912924,0.00282274,0.0192245,0.113781,0.351047,-0.0112347,-0.00598822,-0.000336242,0.0022975,0.0124272,0.0180247,0.00760261
442.879,0.854826,0.0761695,5.0,31.0,0.0,-440.382,0.0156417,0.00318745,0.0162451,0.114829,0.350089,-0.0113596,-0.00638222,-0.000739937,0.00182239,0.0118917,0.017541,0.00701521
441.764,0.995186,0.0761695,6.0,63.0,0.0,-437.895,0.0104553,0.00365523,0.0220552,0.107554,0.346673,-0.00416708,0.00204473,0.00446439,0.00805739,0.0178598,0.0226888,0.0150929
438.478,0.958458,0.0761695,6.0,63.0,0.0,-435.512,0.0105726,0.00381221,0.0208953,0.106861,0.344983,-0.00393402,0.00302258,0.00550156,0.00723662,0.0186522,0.0260151,0.0169565
435.651,0.882788,0.0761695,4.0,15.0,0.0,-430.759,0.0130328,0.00381913,0.0184451,0.108159,0.34176,-0.00540951,0.000303968,0.00834346,0.0103881,0.0173973,0.0211605,0.0130868
435.195,0.947781,0.0761695,4.0,15.0,0.0,-429.42,0.0108239,0.00412592,0.0197918,0.107462,0.343918,-0.00254533,0.00190653,0.00163468,0.00608184,0.0185969,0.0243631,0.0152886
435.072,0.986456,0.0761695,4.0,15.0,0.0,-430.441,0.0126225,0.00379675,0.0205159,0.108322,0.342528,-0.0069185,-0.000177415,0.00778677,0.00964221,0.0157869,0.0206733,0.0124935
434.846,0.999698,0.0761695,6.0,71.0,0.0,-427.849,0.0111336,0.00441363,0.0181064,0.113842,0.353304,-0.0112298,-0.00566355,0.00325365,0.00445201,0.0104223,0.0152487,0.0076516
435.768,0.977288,0.0761695,4.0,15.0,0.0,-427.259,0.00831673,0.00417072,0.017495,0.115149,0.351395,-0.010683,-0.00530811,-0.00578715,0.00197588,0.0107996,0.0189595,0.00739475
437.398,0.998454,0.0761695,4.0,15.0,0.0,-431.367,0.00638923,0.0039501,0.0178426,0.115967,0.351146,-0.0126632,-0.00734807,0.000391597,-0.00128094,0.00942607,0.0113052,0.00527759
438.023,0.930878,0.0761695,4.0,15.0,0.0,-433.477,0.006967,0.00411597,0.0176957,0.115393,0.354968,-0.0119737,-0.00552967,-0.00569706,0.00129417,0.00988092,0.0174521,0.00590129
440.901,0.996861,0.0761695,4.0,15.0,0.0,-433.979,0.00768931,0.00405038,0.0178661,0.115903,0.356427,-0.0120765,-0.00543023,-0.00435835,-0.00223264,0.0100785,0.0153052,0.00648236
442.079,0.964563,0.0761695,4.0,15.0,0.0,-435.848,0.00835964,0.00397753,0.0178188,0.115442,0.349732,-0.01257,-0.0072637,-0.00114712,0.00145344,0.00927126,0.0135979,0.00578919
444.024,0.996587,0.0761695,4.0,15.0,0.0,-440.446,0.00803425,0.00388484,0.0175059,0.115862,0.352173,-0.0111024,-0.00690851,-0.00245313,-0.00055473,0.00904432,0.013896,0.00700943
442.946,0.985599,0.0761695,5.0,63.0,0.0,-434.968,0.0128358,0.00261447,0.0161571,0.113649,0.350627,-0.0104902,-0.00564199,-0.000297689,0.00244586,0.0119371,0.0166471,0.00943464
