x            y_obs        weight       y_calc       y_bkg        
45.21        105.718      0.00946      132.859      100.0        
45.22        134.0        0.00746      131.808      100.0        
45.23        124.0        0.00806      130.809      100.0        
45.24        138.0        0.00725      129.857      100.0        
45.25        128.0        0.00781      128.949      100.0        
45.26        134.0        0.00746      128.084      100.0        
45.27        121.516      0.00823      127.258      100.0        
45.28        132.0        0.00758      126.469      100.0        
45.29        118.0        0.00847      125.715      100.0        
45.3         125.0        0.008        124.993      100.0        
45.31        118.605      0.00843      124.302      100.0        
45.32        126.281      0.00792      123.641      100.0        
45.33        114.013      0.00877      123.007      100.0        
45.34        149.797      0.00668      122.398      100.0        
45.35        120.0        0.00833      121.815      100.0        
45.36        129.0        0.00775      121.254      100.0        
45.37        118.431      0.00844      120.716      100.0        
45.38        139.0        0.00719      120.198      100.0        
45.39        109.4        0.00914      119.7        100.0        
45.4         123.442      0.0081       119.221      100.0        
45.41        118.519      0.00844      118.76       100.0        
45.42        121.0        0.00826      118.315      100.0        
45.43        89.774       0.01114      117.887      100.0        
45.44        120.948      0.00827      117.474      100.0        
45.45        114.151      0.00876      117.075      100.0        
45.46        119.0        0.0084       116.691      100.0        
45.47        101.0        0.0099       116.32       100.0        
45.48        133.922      0.00747      115.961      100.0        
45.49        109.0        0.00917      115.615      100.0        
45.5         121.0        0.00826      115.28       100.0        
45.51        114.0        0.00877      114.956      100.0        
45.52        121.284      0.00825      114.642      100.0        
45.53        102.0        0.0098       114.339      100.0        
45.54        123.0        0.00813      114.045      100.0        
45.55        103.0        0.00971      113.761      100.0        
45.56        122.97       0.00813      113.485      100.0        
45.57        112.0        0.00893      113.218      100.0        
45.58        117.0        0.00855      112.959      100.0        
45.59        100.415      0.00996      112.708      100.0        
45.6         112.928      0.00886      112.464      100.0        
45.61        107.454      0.00931      112.227      100.0        
45.62        125.995      0.00794      111.998      100.0        
45.63        92.549       0.01081      111.775      100.0        
45.64        130.116      0.00769      111.558      100.0        
45.65        110.0        0.00909      111.347      100.0        
45.66        113.0        0.00885      111.143      100.0        
45.67        94.888       0.01054      110.944      100.0        
45.68        115.0        0.0087       110.75       100.0        
45.69        99.0         0.0101       110.562      100.0        
45.7         123.758      0.00808      110.379      100.0        
45.71        100.402      0.00996      110.201      100.0        
45.72        113.055      0.00885      110.027      100.0        
45.73        95.717       0.01045      109.859      100.0        
45.74        147.0        0.0068       109.694      100.0        
45.75        98.0         0.0102       109.534      100.0        
45.76        126.755      0.00789      109.378      100.0        
45.77        109.0        0.00917      109.225      100.0        
45.78        110.154      0.00908      109.077      100.0        
45.79        94.864       0.01054      108.932      100.0        
45.8         115.582      0.00865      108.791      100.0        
45.81        98.0         0.0102       108.653      100.0        
45.82        111.0        0.00901      108.519      100.0        
45.83        90.0         0.01111      108.388      100.0        
45.84        124.0        0.00806      108.26       100.0        
45.85        94.0         0.01064      108.135      100.0        
45.86        110.026      0.00909      108.013      100.0        
45.87        100.0        0.01         107.894      100.0        
45.88        129.554      0.00772      107.777      100.0        
45.89        95.0         0.01053      107.663      100.0        
45.9         108.104      0.00925      107.552      100.0        
45.91        106.887      0.00936      107.443      100.0        
45.92        118.674      0.00843      107.337      100.0        
45.93        101.0        0.0099       107.233      100.0        
45.94        124.0        0.00806      107.132      100.0        
45.95        95.065       0.01052      107.032      100.0        
45.96        126.87       0.00788      106.935      100.0        
45.97        104.68       0.00955      106.84       100.0        
45.98        114.0        0.00877      106.747      100.0        
45.99        105.312      0.0095       106.656      100.0        
46.0         108.0        0.00926      106.567      100.0        
46.01        95.959       0.01042      106.479      100.0        
46.02        114.788      0.00871      106.394      100.0        
46.03        88.62        0.01128      106.31       100.0        
46.04        128.0        0.00781      106.228      100.0        
46.05        94.0         0.01064      106.148      100.0        
46.06        125.138      0.00799      106.069      100.0        
46.07        93.984       0.01064      105.992      100.0        
46.08        114.0        0.00877      105.916      100.0        
46.09        86.0         0.01163      105.842      100.0        
46.1         108.0        0.00926      105.769      100.0        
46.11        105.0        0.00952      105.698      100.0        
46.12        106.0        0.00943      105.628      100.0        
46.13        77.0         0.01299      105.56       100.0        
46.14        111.985      0.00893      105.493      100.0        
46.15        90.853       0.01101      105.427      100.0        
46.16        108.724      0.0092       105.362      100.0        
46.17        105.0        0.00952      105.299      100.0        
46.18        111.473      0.00897      105.236      100.0        
46.19        99.35        0.01007      105.175      100.0        
46.2         108.23       0.00924      105.115      100.0        
46.21        104.113      0.0096       105.056      100.0        
46.22        122.0        0.0082       104.999      100.0        
46.23        100.0        0.01         104.942      100.0        
46.24        105.0        0.00952      104.886      100.0        
46.25        92.0         0.01087      104.831      100.0        
46.26        110.555      0.00905      104.778      100.0        
